------ QA Tim Izvještaj o pregledu proizvoda ------
(primjer podataka uz promjene preuzet sa https://datascienceplus.com/logistic-regression-regularized-with-optimization/)
Nad svakim proizvodom izvršen je skup testova koji odredjuju da 
li je proizvod dovojno kvalitetan za distibuciju i isporuku.
Manager QA tima na osnovu testova odredjuje kvalitetu proizvoda.
Zadatak Loogisticke regresije jeste da se izgradi Matematicki model koji ce davati vjerojatnocu 
da je proizvod kvaliteta i spreman za isporuku. 
t1	t2	out
97.64563	68.86157	1
82.22666	42.71988	0
64.03932	78.03169	1
30.05882	49.59297	0
53.97105	89.20735	1
60.18260	86.30855	1
50.45816	75.80986	1
40.23689	71.16775	0
58.84096	75.85845	1
35.84741	72.90220	0
83.90239	56.30805	1
88.91390	69.80379	1
75.47770	90.42454	1
72.34649	96.22759	1
61.83021	50.25611	0
68.46852	85.59431	1
71.79646	78.45356	1
34.62366	78.02469	0
74.78925	41.57342	0
75.39561	85.75994	1
52.34800	60.76951	0
55.34002	64.93194	1
62.27101	69.95446	1
55.48216	35.57070	0
66.74672	60.99139	1
97.77160	86.72782	1
95.86156	38.22528	0
75.01366	30.60326	0
40.45755	97.53519	1
89.67678	65.79937	1
94.09433	77.15911	1
60.45556	42.50841	0
93.11439	38.80067	0
74.77589	89.52981	1
44.66826	66.45009	0
52.10798	63.12762	0
34.21206	44.20953	0
85.40452	57.05198	1
70.66151	92.92714	1
69.07014	52.74047	1
57.23871	59.51428	1
75.02475	46.55401	1
99.31501	68.77541	1
94.83451	45.69431	1
80.19018	44.82163	1
62.07306	96.76882	1
34.52451	60.39634	0
89.84581	45.35828	1
76.97878	47.57596	1
56.25382	39.26147	0
50.28650	49.80454	0
61.10666	96.51143	1
83.48916	48.38029	1
74.49269	84.84514	1
42.26170	87.10385	1
47.26427	88.47586	1
69.36459	97.71869	1
67.94686	46.67857	0
50.53479	48.85581	0
80.27957	92.11606	1
67.31926	66.58935	1
99.27253	60.99903	1
34.18364	75.23772	0
49.58668	59.80895	0
90.54671	43.39060	1
54.63511	52.21389	0
80.36676	90.96015	1
79.94482	74.16312	1
45.08328	56.31637	0
77.92409	68.97236	1
61.37929	72.80789	1
51.54772	46.85629	0
51.04775	45.82270	0
49.07256	51.88321	0
32.57720	95.59855	0
35.28611	47.02051	0
38.78580	64.99568	0
39.53834	76.03681	0
82.36875	40.61826	0
91.56497	88.69629	1
32.72283	43.30717	0
67.37203	42.83844	0
82.30705	76.48196	1
84.43282	43.53339	1
94.44337	65.56892	1
30.28671	43.89500	0
42.07545	78.84479	0
77.19303	70.45820	1
99.82786	72.36925	1
62.22268	52.06099	0
76.09879	87.42057	1
52.04540	69.43286	1
66.56089	41.09210	0
79.03274	75.34438	1
90.44855	87.50879	1
74.24869	69.82457	1
64.17699	80.90806	1
33.91550	98.86944	0
78.63542	96.64743	1
60.45789	73.09500	1
