x1,x2,y
2.104,3,39.99
1.6,3,32.99
2.4,3,36.9
1.416,2,23.2
3,4,53.99
1.985,4,29.99
1.534,3,31.49
1.427,3,19.8999
1.38,3,21.2
1.494,3,24.25
1.94,4,23.9999
2,3,34.7
1.89,3,32.9999
4.478,5,69.99
1.268,3,25.99
2.3,4,44.99
1.32,2,29.99
1.236,3,19.99
2.609,4,49.9998
3.031,4,59.9
1.767,3,25.29
1.888,2,25.5
1.604,3,24.29
1.962,4,25.99
3.89,3,57.39
1.1,3,24.99
1.458,3,46.45
2.526,3,46.9
2.2,3,47.5
2.637,3,29.99
1.839,2,34.99
1,1,16.99
2.04,4,31.49
3.137,3,57.99
1.811,4,28.59
1.437,3,24.99
1.239,3,22.99
2.132,4,34.5
4.215,4,54.9
2.162,4,28.7
1.664,2,36.85
2.238,3,32.99
2.567,4,31.4
1.2,3,29.9
0.852,2,17.99
1.852,4,29.99
1.203,3,23.95
