		Parametri obrade rezanjem	Sile rezanja
RB	HRc(MPA)	vc(m/mm)	f(mm/o)	ap(mm)	Fa(N)	Fr(N)	Ft(N)
RB	HRc	vc	f	ap	Fa	Fr	Ft
1	45	100	0,1	0,2	56	104	128
2	45	150	0,05	0,2	20	51	50
3	45	150	0,08	0,2	28	69	75
4	45	150	0,1	0,2	28	71	83
5	45	150	0,1	0,3	60	118	135
6	45	150	0,1	0,4	82	129	174
7	45	150	0,2	0,38	40	120	151
8	45	200	0,1	0,2	33	79	91
9	50	100	0,1	0,2	41	111	106
10	50	150	0,05	0,2	35	103	69
11	50	150	0,1	0,4	90	158	179
12	50	150	0,2	0,2	58	193	168
13	50	200	0,1	0,2	36	97	94
14	52	50	0,1	0,2	44	103	117
15	52	50	0,1	0,4	58	115	140
16	52	100	0,1	0,2	40	97	91
17	52	150	0,1	0,2	38	102	98
18	52	250	0,1	0,2	37	97	95
19	52	300	0,1	0,2	32	89	93
20	52	300	0,1	0,3	59	112	135
21	54	100	0,1	0,2	34	85	96
22	54	150	0,05	0,2	23	58	56
23	54	150	0,1	0,3	57	115	131
24	54	150	0,1	0,4	83	142	172
25	54	150	0,15	0,2	40	110	128
26	54	150	0,2	0,2	45	140	159
27	54	200	0,1	0,2	35	91	92
28	56	50	0,1	0,2	51	141	121
29	56	150	0,1	0,2	30	75	86
30	56	200	0,1	0,15	18	58	61
31	56	250	0,1	0,2	33	78	93
32	56	300	0,1	0,2	32	97	92
33	45	150	0,15	0,2	42	115	136
34	50	150	0,1	0,3	66	154	143
35	50	150	0,15	0,2	46	139	137
36	52	200	0,1	0,2	36	95	96
37	54	150	0,1	0,2	32	91	94
38	56	100	0,1	0,2	33	81	96
